aX,aY,aZ,gX,gY,gZ,sample
0.276,0.359,-0.88,-2.991,0.977,0.122,3
0.266,0.345,-0.874,-1.953,-0.671,-0.366,3
0.257,0.34,-0.865,-1.343,-1.892,-0.183,3
0.66,3.704,-2.518,962.646,-31.189,37.659,4
-0.571,0.757,-3.979,800.049,-72.266,-22.217,4
-0.148,0.982,-2.027,216.675,-24.17,-39.124,4
0.201,0.388,-1.277,-12.634,-57.8,-19.409,4
0.297,0.346,-0.815,-89.111,-41.077,-13.184,4
0.245,0.442,-0.6,-127.686,-25.513,-2.991,4
0.332,0.485,-0.461,-119.446,-13.367,10.132,4
0.412,0.544,-0.5,-125.244,1.892,15.076,4
0.433,0.521,-0.463,-141.296,14.709,16.296,4
0.404,0.523,-0.453,-167.908,16.479,14.954,4
0.398,0.568,-0.432,-199.097,21.362,12.756,4
0.319,0.651,-0.356,-224.426,21.24,8.423,4
0.142,0.73,-0.145,-223.145,17.517,6.897,4
-0.044,0.806,0.074,-180.359,14.893,13.55,4
0.065,0.723,-0.11,-102.417,19.165,28.931,4
0.24,0.686,-0.472,-44.739,24.414,37.354,4
0.326,0.745,-0.679,-23.743,19.531,34.18,4
0.315,0.817,-0.744,-19.409,9.216,24.292,4
0.292,0.81,-0.811,-17.578,1.709,13.489,4
0.261,0.787,-0.884,-17.639,-3.052,5.859,4
0.217,0.76,-0.925,-20.752,-7.935,2.136,4
0.213,0.768,-0.921,-27.344,-10.864,2.197,4
0.26,0.758,-0.903,-36.621,-8.423,3.723,4
0.245,0.786,-0.855,-47.18,-7.751,2.136,4
0.24,0.766,-0.825,-51.88,-5.066,2.075,4
0.219,0.753,-0.78,-56.946,-4.883,0.671,4
0.206,0.735,-0.756,-59.814,-4.7,0.305,4
0.197,0.709,-0.747,-61.584,-6.409,0.366,4
0.201,0.665,-0.755,-62.134,-7.874,0.244,4
0.208,0.634,-0.767,-62.317,-8.911,0.549,4
0.219,0.604,-0.78,-61.523,-10.01,1.038,4
0.226,0.554,-0.803,-59.875,-11.536,1.221,4
0.236,0.509,-0.827,-57.373,-13.489,2.014,4
0.235,0.477,-0.834,-55.42,-15.686,3.662,4
0.235,0.459,-0.834,-55.176,-16.846,5.371,4
0.245,0.45,-0.832,-56.885,-15.381,6.775,4
0.262,0.457,-0.799,-59.326,-13.489,8.301,4
0.284,0.445,-0.758,-58.899,-13.733,9.644,4
0.293,0.43,-0.751,-54.26,-15.137,10.01,4
0.304,0.387,-0.783,-47.546,-16.418,9.521,4
0.313,0.354,-0.822,-42.847,-16.907,8.484,4
0.329,0.33,-0.848,-40.344,-16.479,7.69,4
0.352,0.29,-0.889,-36.56,-16.785,7.202,4
0.357,0.271,-0.923,-31.067,-19.409,6.714,4
0.355,0.245,-0.942,-27.1,-22.705,7.202,4
0.349,0.234,-0.946,-25.513,-23.193,8.179,4
0.354,0.227,-0.945,-26.306,-21.79,8.85,4
0.366,0.233,-0.932,-29.175,-19.165,8.972,4
0.381,0.23,-0.91,-33.142,-16.174,7.874,4
