aX,aY,aZ,gX,gY,gZ,sample
0.481,-0.647,0.158,162.415,93.811,298.95,4
0.391,-0.546,0.12,181.824,86.182,310.486,4
0.321,-0.423,0.09,190.918,69.885,323.181,4
0.211,-0.391,0.219,192.139,55.786,333.13,4
0.167,-0.274,0.338,194.275,45.41,343.323,4
0.096,-0.214,0.378,206.787,37.109,353.088,4
-0.104,-0.14,0.296,220.52,31.006,363.037,4
-0.208,-0.045,0.319,226.074,22.522,377.502,4
-0.231,0.136,0.473,228.455,16.968,385.132,4
-0.238,0.377,0.676,235.107,19.592,382.812,4
-0.3,0.645,0.726,246.033,35.583,364.746,4
-0.359,0.822,0.763,253.601,55.908,330.688,4
-0.416,0.994,0.88,253.479,69.702,290.466,4
-0.38,1.192,0.991,251.892,76.66,258.484,4
-0.291,1.314,0.936,254.944,79.407,236.023,4
-0.367,1.303,0.867,253.418,80.261,215.149,4
-0.371,1.245,0.948,233.948,80.811,199.463,4
-0.27,1.238,1.016,205.688,88.135,182.434,4
-0.271,1.27,0.982,179.26,97.473,162.231,4
-0.346,1.336,0.938,154.968,99.548,145.081,4
-0.427,1.396,0.897,132.263,94.482,134.033,4
-0.5,1.468,0.861,112.427,86.06,125.61,4
-0.555,1.573,0.929,92.224,78.308,114.807,4
-0.58,1.731,1.06,76.05,75.562,99.06,4
-0.591,1.885,1.168,62.439,79.956,77.82,4
-0.576,2.038,1.245,45.227,89.905,53.284,4
-0.562,2.182,1.281,23.926,99.487,25.879,4
-0.595,2.287,1.28,2.136,104.858,-3.601,4
-0.662,2.38,1.228,-22.278,106.079,-36.621,4
-0.733,2.41,1.171,-49.683,101.868,-74.646,4
-0.761,2.356,1.164,-74.341,90.088,-111.816,4
-0.775,2.247,1.111,-96.619,74.402,-140.259,4
-0.762,2.13,1.09,-120.789,48.279,-159.546,4
-0.799,1.958,1.052,-141.968,14.038,-174.438,4
-0.765,1.732,1.012,-159.729,-16.052,-188.66,4
-0.67,1.57,0.981,-174.194,-39.001,-207.703,4
-0.572,1.49,0.988,-188.171,-59.814,-231.812,4
-0.457,1.385,1.078,-201.721,-76.111,-258.484,4
-0.295,1.225,1.192,-211.792,-82.336,-286.926,4
-0.151,1.096,1.216,-214.539,-81.909,-316.223,4
-0.085,0.973,1.161,-212.646,-78.308,-348.206,4
-0.087,0.851,1.037,-212.952,-70.068,-380.493,4
-0.124,0.707,0.949,-221.924,-58.96,-406.067,4
-0.172,0.528,0.841,-239.502,-45.837,-415.894,4
-0.133,0.285,0.874,-262.39,-25.635,-412.415,4
-0.034,0.099,0.965,-281.433,-21.484,-389.893,4
0.074,0.058,0.951,-279.297,-20.813,-360.84,4
0.051,-0.072,0.857,-259.216,-14.771,-347.656,4
0.131,-0.271,0.821,-243.164,-10.864,-342.773,4
0.212,-0.503,0.901,-233.215,-9.521,-345.886,4
0.274,-0.683,0.82,-213.196,-10.742,-345.642,4
0.275,-0.709,0.75,-182.373,-13.977,-339.661,4
0.28,-0.799,0.601,-143.066,-13.55,-344.788,4
0.293,-1.088,0.372,-107.91,-3.723,-361.206,4
0.288,-1.377,0.213,-99.609,6.348,-365.051,4
0.34,-1.586,0.164,-112.671,8.606,-342.102,4
0.518,-1.693,0.126,-125.488,6.409,-295.227,4
0.707,-1.736,0.045,-128.784,1.648,-242.615,4
0.838,-1.816,-0.021,-124.512,-3.235,-197.327,4
0.959,-1.845,-0.037,-117.065,-6.958,-159.424,4
1.062,-1.848,-0.028,-106.323,-11.353,-124.146,4
1.14,-1.785,-0.041,-91.797,-14.526,-90.82,4
1.151,-1.685,-0.091,-76.05,-18.311,-61.279,4
1.078,-1.51,-0.095,-63.416,-22.156,-37.476,4
0.987,-1.331,-0.055,-54.016,-23.315,-19.409,4
0.929,-1.164,-0.015,-47.119,-20.325,-3.906,4
0.886,-1,0.025,-40.161,-15.747,10.559,4
0.843,-0.824,0.049,-33.508,-11.841,21.118,4
0.829,-0.719,0.042,-25.391,-8.85,24.597,4
0.765,-0.634,0.013,-16.663,-4.395,22.278,4
0.794,-0.545,-0.018,-9.521,4.944,23.926,4
0.898,-0.502,0.005,-4.517,11.414,26.184,4
0.887,-0.476,0.034,0.61,6.226,19.043,4
0.907,-0.439,0.049,7.141,0.366,15.259,4
0.954,-0.391,0.078,13.611,-2.014,18.494,4
0.973,-0.346,0.082,20.02,-1.831,25.146,4
0.959,-0.301,0.085,23.987,-1.77,30.396,4
0.96,-0.273,0.103,23.315,-3.906,34.485,4
0.95,-0.211,0.148,17.273,-5.859,37.109,4
0.954,-0.137,0.196,9.949,-7.08,39.307,4
0.953,-0.077,0.247,3.845,-7.629,38.94,4
0.951,-0.054,0.268,0.854,-6.104,35.95,4
0.941,-0.034,0.259,-0.305,-3.479,32.593,4
0.942,-0.031,0.227,-0.671,-2.197,31.616,4
0.976,-0.069,0.193,-1.343,-1.526,30.884,4
1.002,-0.08,0.18,-3.479,-1.16,29.419,4
1.007,-0.077,0.168,-2.197,-2.075,25.452,4
1,-0.085,0.164,2.991,-3.235,19.775,4
0.992,-0.101,0.154,7.629,-3.906,16.418,4
0.988,-0.112,0.143,9.216,-4.944,16.296,4
0.983,-0.111,0.146,8.667,-6.226,17.639,4
0.982,-0.105,0.162,7.874,-6.775,19.104,4
0.986,-0.11,0.151,7.935,-5.493,19.348,4
0.963,-0.098,0.146,6.775,-3.662,18.433,4
0.948,-0.089,0.143,5.127,-2.686,17.09,4
0.951,-0.061,0.147,4.211,-3.235,16.479,4
0.933,-0.05,0.151,5.005,-4.395,15.32,4
0.927,-0.062,0.159,6.104,-4.944,12.085,4
0.925,-0.083,0.151,6.531,-5.249,8.911,4
0.931,-0.098,0.141,5.188,-5.554,7.69,4
0.946,-0.125,0.124,4.211,-5.981,7.874,4
0.948,-0.12,0.129,4.028,-6.714,8.057,4
0.955,-0.114,0.14,4.211,-6.653,7.446,4
0.966,-0.097,0.162,3.418,-6.165,6.409,4
0.972,-0.077,0.175,3.296,-5.554,5.859,4
0.97,-0.078,0.185,4.272,-4.883,4.272,4
1.308,-1.222,0.477,30.64,3.906,61.768,5
1.346,-1.378,0.443,23.193,10.986,97.717,5
1.344,-1.472,0.391,16.724,19.165,140.564,5
1.281,-1.527,0.362,13.306,27.771,185.059,5
1.219,-1.526,0.379,16.724,37.231,227.173,5
1.162,-1.469,0.339,26.794,47.546,266.113,5
1.003,-1.39,0.248,36.743,56.458,298.279,5
0.892,-1.338,0.229,42.114,57.8,323.303,5
0.753,-1.224,0.23,46.387,38.391,350.891,5
